Name,Status,Price,Stars,Ratings,URL,UPC
Windows 10 HP Compaq dc5700 SFF PCI HDMI DVI VGA Video Graphics Card,Open Box,$50.00,0,0,https://www.ebay.com/itm/194296367573?hash=item2d3cf749d5:g:qEcAAOSwRY5hHZ7j,
Expert-Oriented Rd-Rx5700Xt-E8Gb/Df Video Card,Pre-Owned,"$1,583.91",0,0,https://www.ebay.com/itm/115089083550?hash=item1acbd80c9e:g:rI0AAOSwPJdhi~x8,
ASUS V9570 graphics card (NVIDIA® GeForce FX 5700) 128Mb AGP 8x 250MHz 128bit ,Pre-Owned,$44.00,0,0,https://www.ebay.com/itm/174993333541?hash=item28be6a5d25:g:mTgAAOSw6D9hdqcg,
ASRock RADEON RX 5700 XT CHALLENGER D 8G OC used,Pre-Owned,"$1,976.57",Pre,0,https://www.ebay.com/itm/403138503318?hash=item5ddced6296:g:Uj0AAOSwdM1hNvZJ,
GENUINE Lenovo ATI FirePro 3D V5700 512MB Desktop Video Graphics Card 53Y8571,Pre-Owned,$34.99,0,0,https://www.ebay.com/itm/362687809185?hash=item5471e0c6a1:g:mPoAAOSw6S5dE-BY,
Dual Bios VBIOS Switch: AMD RADEON VEGA Frontier 56 64 RX 5700 580 6800 XT 480,Brand New,$8.95,0,0,https://www.ebay.com/itm/303967383063?hash=item46c5de2e17:g:aTcAAOSwXrJgfgJ0,
BFG NVIDIA GeForce FX 5700 Ultra 128MB DDR AGP  Video Graphics Card,Pre-Owned,$149.95,0,0,https://www.ebay.com/itm/224620578087?hash=item344c6e0527:g:b4oAAOSwPehhTLRp,
AMD RADEON RX5700 XT 8GB GDDR6 VRAM Graphics Card Used,Pre-Owned,"$1,199.99",5.0,0,https://www.ebay.com/itm/203665244713?epid=13034191903&hash=item2f6b650229:g:njwAAOSwTAxhdTst,
PNY Technologies GenForce FX5700VE FX5700 VE DDR 256MB AGP Graphics Card ,Pre-Owned,$118.75,0,0,https://www.ebay.com/itm/164551505797?hash=item265008b785:g:GvIAAOSwOopfxsJi,
VINTAGE NVIDIA XFX GeForce FX 5700 LE 256MB DDR DVI/VGA/TV OUT AGP GPU New,Brand New,$139.00,0,0,https://www.ebay.com/itm/124826843552?hash=item1d104279a0:g:XngAAOSwSnJg~y3f,
AMD RADEON HD 5700 1 GB GDDR5 PCI-E Video Card 102C0160100 Apple,Pre-Owned,$45.00,0,0,https://www.ebay.com/itm/265273494982?hash=item3dc3884dc6:g:HkUAAOSw5tphHEQG,
